conflict_country,iso3c,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum
Afghanistan,AFG,"Vienna, Austria",AUT,16.3725,48.2083,33.81875642614741,65.92599980294847,4375.7904669748705,2,0
Afghanistan,AFG,"Istanbul, Turkey",TUR,28.955,41.0136,33.81875642614741,65.92599980294847,3342.143325474846,1,0
Afghanistan,AFG,"Moscow, Russia",RUS,37.6172,55.7558,33.81875642614741,65.92599980294847,3265.8959896438637,1,0
Afghanistan,AFG,"Doha, Qatar",QAT,51.5333,25.2867,33.81875642614741,65.92599980294847,1682.425008384082,1,0
Afghanistan,AFG,"Dushanbe, Tajikistan",TJK,68.78,38.5367,33.81875642614741,65.92599980294847,582.9971371,1,0
Israel,ISR,"New York, United States",USA,-73.9249,40.6943,31.43297864,34.99113819680111,9194.804177119031,2,0
Israel,ISR,"Washington, United States",USA,-77.0163,38.9047,31.43297864,34.99113819680111,9525.787328770904,4,0
Israel,ISR,"China, China",CHN,105,35,31.43297864,34.99113819680111,6401.282033,1,0
Israel,ISR,"Beijing, China",CHN,116.3975,39.9067,31.43297864,34.99113819680111,7174.462037520189,2,1
Israel,ISR,"Rome, Italy",ITA,12.4828,41.8933,31.43297864,34.99113819680111,2312.588622052639,2,0
Israel,ISR,"Valletta, Malta",MLT,14.5125,35.8983,31.43297864,34.99113819680111,1958.689404170837,1,0
Israel,ISR,"Paris, France",FRA,2.3522,48.8567,31.43297864,34.99113819680111,3346.959426248428,6,0
Israel,ISR,"Warsaw, Poland",POL,21.0111,52.23,31.43297864,34.99113819680111,2575.0057122543267,3,0
Israel,ISR,"El Alamein, Egypt",EGY,28.9543,30.8225,31.43297864,34.99113819680111,579.6620798282366,1,0
Israel,ISR,"Istanbul, Turkey",TUR,28.955,41.0136,31.43297864,34.99113819680111,1192.8218000419367,1,0
Israel,ISR,"Egypt, Egypt",EGY,30,27,31.43297864,34.99113819680111,690.4282607920917,2,0
Israel,ISR,"Cairo, Egypt",EGY,31.2358,30.0444,31.43297864,34.99113819680111,391.15730070142325,45,0
Israel,ISR,"Khartoum, Sudan",SDN,32.5,15.6,31.43297864,34.99113819680111,1771.775925189935,2,2
Israel,ISR,"Ankara, Turkey",TUR,32.85,39.93,31.43297864,34.99113819680111,962.4027676714431,3,0
Israel,ISR,"Cyprus, Cyprus",CYP,33,35,31.43297864,34.99113819680111,436.9653737860552,1,0
Israel,ISR,"Sharm El-Sheikh, Egypt",EGY,34.3618,27.9654,31.43297864,34.99113819680111,389.1651038291301,1,1
Israel,ISR,"Gaza, Gaza Strip",XGZ,34.456,31.5069,31.43297864,34.99113819680111,51.51181645377665,1,0
Israel,ISR,"Israel, Israel",ISR,34.75,31.5,31.43297864,34.99113819680111,24.091576985420545,14,0
Israel,ISR,"Tel Aviv-Yafo, Israel",ISR,34.78,32.08,31.43297864,34.99113819680111,74.47986710134707,7,1
Israel,ISR,"Al `Aqabah, Jordan",JOR,35.0056,29.5319,31.43297864,34.99113819680111,210.7594122765191,1,1
Israel,ISR,"Naqoura, Lebanon",LBN,35.1399,33.1183,31.43297864,34.99113819680111,187.41277999538798,1,0
Israel,ISR,"Ramallah, Israel",ISR,35.2034,31.9038,31.43297864,34.99113819680111,55.95136591140496,3,0
Israel,ISR,"Jerusalem, Israel",ISR,35.2256,31.7789,31.43297864,34.99113819680111,44.34172954027965,9,0
Israel,ISR,"West Bank, Israel",ISR,35.3027,31.9466,31.43297864,34.99113819680111,64.15582950618398,2,0
Israel,ISR,"Beirut, Lebanon",LBN,35.5057,33.8983,31.43297864,34.99113819680111,277.62731338075105,3,0
Israel,ISR,"Lebanon, Lebanon",LBN,35.8333,33.8333,31.43297864,34.99113819680111,277.6702241543882,1,0
Israel,ISR,"Amman, Jordan",JOR,35.9328,31.9497,31.43297864,34.99113819680111,106.08005798421574,2,0
Israel,ISR,"Moscow, Russia",RUS,37.6172,55.7558,31.43297864,34.99113819680111,2710.230740782316,3,0
Israel,ISR,"Saudi Arabia, Saudi Arabia",SAU,45,25,31.43297864,34.99113819680111,1212.9135251254854,1,0
Israel,ISR,"Riyadh, Saudi Arabia",SAU,46.7167,24.6333,31.43297864,34.99113819680111,1375.9760701310881,3,0
Israel,ISR,"Dhahran, Saudi Arabia",SAU,50.0393,26.2361,31.43297864,34.99113819680111,1575.7028670230459,1,0
Israel,ISR,"Qatar, Qatar",QAT,51.25,25.5,31.43297864,34.99113819680111,1720.3648877872881,2,0
Israel,ISR,"Tehran, Iran",IRN,51.3889,35.6892,31.43297864,34.99113819680111,1591.8489749307112,1,0
Israel,ISR,"Doha, Qatar",QAT,51.5333,25.2867,31.43297864,34.99113819680111,1756.404319840483,27,0
Israel,ISR,"Dubai, United Arab Emirates",ARE,55.2972,25.2631,31.43297864,34.99113819680111,2101.085846852168,1,0
Libya,LBY,"Morocco, Morocco",MAR,-5,32,27.016716392720838,18.06679321821868,2298.7710326442007,1,0
Libya,LBY,"Bouznika, Morocco",MAR,-7.156,33.7875,27.016716392720838,18.06679321821868,2529.736910603491,3,1
Libya,LBY,"Tunis, Tunisia",TUN,10.1817,36.8064,27.016716392720838,18.06679321821868,1315.8439669126549,5,1
Libya,LBY,"Sebha, Libya",LBY,14.4283,27.035,27.016716392720838,18.06679321821868,361.0487557880111,1,0
Libya,LBY,"Sirte, Libya",LBY,16.5887,31.2089,27.016716392720838,18.06679321821868,486.39683147979883,2,0
Libya,LBY,"Libya, Libya",LBY,17,25,27.016716392720838,18.06679321821868,247.63647752840689,8,0
Libya,LBY,"Paris, France",FRA,2.3522,48.8567,27.016716392720838,18.06679321821868,2777.5377037324274,1,0
Libya,LBY,"Benghazi, Libya",LBY,20.0667,32.1167,27.016716392720838,18.06679321821868,597.5644751,16,1
Libya,LBY,"Egypt, Egypt",EGY,30,27,27.016716392720838,18.06679321821868,1183.900060966339,1,0
Libya,LBY,"Cairo, Egypt",EGY,31.2358,30.0444,27.016716392720838,18.06679321821868,1330.9873441857924,9,4
Libya,LBY,"Tripoli, Lebanon",LBN,35.8344,34.4367,27.016716392720838,18.06679321821868,1886.2768784795971,19,2
Sudan,SDN,"New York, United States",USA,-73.9249,40.6943,15.967966109559558,29.907465245720665,9989.339125108872,1,1
